id;id_uwi;name;well_type;pump_model;manifold;province;deposit;campaign_year;start_up_date;is_injector;stem_torque;pump_constant;stem_rpm;variator_frequency;extraction_type;extraction_subtype;project_id;rig_id;battery_id;district_id
1;47328;best-of-breed;Berkshire override;multi-byte stable;Frozen Loan;Graphical Solutions;Investment Pizza Money;68394;2022-12-16;true;26444;97328;11839;14839;Senior XML;Rustic bypass;1;1;1;1
2;75242;Berkshire;SSL Paradigm Avon;New Investor;Soft quantifying;transmitter Practical;Applications Sierra;60153;2022-12-16;false;24726;92496;23427;73074;generating orange Bridge;XSS;2;2;2;2
3;46822;copying Steel;withdrawal responsive generate;Outdoors mobile;Small Licensed;Namibia;Account portal Chips;66;2022-12-16;false;55798;11297;74935;62263;Mississippi Cambridgeshire Strategist;sensor Tasty;3;3;3;3
4;35224;Euro Meadow application;Cheese Kids;Awesome;Comoros Streets instruction;International;EXE Customer Dollar;82646;2022-12-15;false;87638;29807;39703;52214;Plastic;Handcrafted Oval firmware;4;4;4;4
5;96818;PCI;Usability Peso monitor;Fish Central;Missouri protocol Expanded;withdrawal purple Parks;bandwidth-monitored Books;8886;2022-12-16;false;57044;385;80749;50972;SSL brand system;workforce cross-platform;5;5;5;5
6;88626;B2B;Global;Rubber Dominica connecting;regional;EXE backing quantifying;Officer Organic;69422;2022-12-16;true;11270;30962;59755;31289;Clothing olive Games;Kuwait SMTP neural;6;6;6;6
7;49842;circuit Robust;Gorgeous;Italy flexibility;Cheese Facilitator;Buckinghamshire;Squares;13575;2022-12-16;false;37110;49257;65342;50664;infrastructure;Strategist Jordan salmon;7;7;7;7
8;7695;impactful Pennsylvania Licensed;CFA;structure;Nevis;Tasty;white reintermediate Sierra;74965;2022-12-16;true;5326;71065;13390;72853;Human Sleek;Supervisor;8;8;8;8
9;60108;invoice Account teal;Dinar;Liaison CSS;hacking;SSL;Cambridgeshire;12806;2022-12-16;true;35111;81735;53335;32760;Administrator Kentucky;1080p orchid;9;9;9;9
10;42864;disintermediate;Account;robust Fresh help-desk;Managed Glen microchip;Peso;Norway;63904;2022-12-16;true;82252;22824;37821;14131;Borders Generic array;Hat synthesizing e-business;10;10;10;10
