id;id_user;date;comment;additional_data_id;additional_data_item_description_id
1;47589;2022-12-16;Re-engineered Directives Pennsylvania;1;1
2;26904;2022-12-15;microchip deposit;2;2
3;35361;2022-12-16;Legacy bandwidth;3;3
4;60539;2022-12-15;Research contingency Singapore;4;4
5;6073;2022-12-16;Home Tonga;5;5
6;41863;2022-12-15;invoice website Assurance;6;6
7;80726;2022-12-16;Tanzania Guinea;7;7
8;35908;2022-12-15;Baby;8;8
9;87091;2022-12-16;program virtual input;9;9
10;26476;2022-12-16;Adaptive magnetic Freeway;10;10
